round,year,religion,residence,sex,n_15plus,lfpr,wpr,ur,salaried_share
2021-22,2021,jain,rural,male,36,86.88,86.88,0.00,43.96
2021-22,2021,jain,urban,all,587,47.81,47.06,1.58,34.46
2021-22,2021,jain,urban,female,285,18.82,18.04,4.14,38.62
2021-22,2021,jain,urban,male,302,75.42,74.69,0.97,33.50
2021-22,2021,muslim,all,all,44916,50.05,47.86,4.38,19.41
2021-22,2021,muslim,all,female,22243,21.14,20.34,3.81,12.46
2021-22,2021,muslim,all,male,22670,78.75,75.18,4.53,21.28
2021-22,2021,muslim,rural,all,22662,51.10,49.40,3.32,12.35
2021-22,2021,muslim,rural,female,11205,23.60,23.10,2.13,6.74
2021-22,2021,muslim,rural,male,11455,78.90,75.99,3.69,14.07
2021-22,2021,muslim,urban,all,22254,48.15,45.07,6.41,33.39
2021-22,2021,muslim,urban,female,11038,16.60,15.23,8.25,28.51
2021-22,2021,muslim,urban,male,11215,78.50,73.76,6.04,34.35
2021-22,2021,other,all,all,2470,66.25,64.20,3.09,15.47
2021-22,2021,other,all,female,1233,54.56,53.04,2.79,13.68
2021-22,2021,other,all,male,1237,78.55,75.94,3.32,16.79
2021-22,2021,other,rural,all,1468,68.26,66.79,2.16,8.56
2021-22,2021,other,rural,female,731,57.29,56.68,1.07,7.46
2021-22,2021,other,rural,male,737,79.95,77.56,2.99,9.42
2021-22,2021,other,urban,all,1002,57.11,52.44,8.17,55.57
2021-22,2021,other,urban,female,502,41.67,35.88,13.91,60.07
2021-22,2021,other,urban,male,500,72.38,68.84,4.90,53.26
2021-22,2021,sikh,all,all,6358,51.48,48.27,6.23,25.78
2021-22,2021,sikh,all,female,3068,24.11,22.16,8.09,32.72
2021-22,2021,sikh,all,male,3290,76.79,72.42,5.69,23.82
2021-22,2021,sikh,rural,all,4104,52.78,49.63,5.97,21.33
2021-22,2021,sikh,rural,female,1971,25.13,23.40,6.90,25.67
2021-22,2021,sikh,rural,male,2133,78.09,73.64,5.70,20.07
2021-22,2021,sikh,urban,all,2254,47.20,43.81,7.19,42.34
2021-22,2021,sikh,urban,female,1097,20.84,18.20,12.67,61.78
2021-22,2021,sikh,urban,male,1157,72.42,68.31,5.68,37.39
2022-23,2022,all,all,all,320260,57.86,56.03,3.16,20.88
2022-23,2022,all,all,female,159128,36.97,35.88,2.93,15.89
2022-23,2022,all,all,male,161117,78.55,75.98,3.27,23.21
2022-23,2022,all,rural,all,181049,60.85,59.37,2.43,12.17
2022-23,2022,all,rural,female,90349,41.50,40.74,1.84,7.98
2022-23,2022,all,rural,male,90689,80.21,78.01,2.74,14.35
2022-23,2022,all,urban,all,139211,50.41,47.70,5.36,47.97
2022-23,2022,all,urban,female,68779,25.42,23.52,7.49,50.80
2022-23,2022,all,urban,male,70428,74.47,71.00,4.66,47.07
2022-23,2022,buddhist,all,all,3638,61.21,58.50,4.43,27.49
2022-23,2022,buddhist,all,female,1819,43.72,41.82,4.35,24.93
2022-23,2022,buddhist,all,male,1819,78.60,75.08,4.48,28.91
2022-23,2022,buddhist,rural,all,2248,65.73,64.14,2.43,13.68
2022-23,2022,buddhist,rural,female,1114,49.64,49.00,1.28,8.38
2022-23,2022,buddhist,rural,male,1134,81.24,78.72,3.11,16.86
2022-23,2022,buddhist,urban,all,1390,52.74,47.94,9.11,62.15
2022-23,2022,buddhist,urban,female,705,33.09,28.93,12.59,75.24
2022-23,2022,buddhist,urban,male,685,73.41,67.94,7.45,56.28
2022-23,2022,christian,all,all,22124,60.69,57.96,4.49,28.06
2022-23,2022,christian,all,female,11223,46.18,43.66,5.46,28.04
2022-23,2022,christian,all,male,10900,76.07,73.12,3.87,28.06
2022-23,2022,christian,rural,all,12383,65.90,63.51,3.63,18.22
2022-23,2022,christian,rural,female,6212,52.30,50.11,4.20,16.16
2022-23,2022,christian,rural,male,6171,80.23,77.64,3.23,19.63
2022-23,2022,christian,urban,all,9741,51.37,48.04,6.48,51.27
2022-23,2022,christian,urban,female,5011,35.34,32.25,8.74,60.70
2022-23,2022,christian,urban,male,4729,68.56,64.98,5.23,46.24
2022-23,2022,hindu,all,all,239010,58.96,57.07,3.21,21.45
2022-23,2022,hindu,all,female,118550,39.92,38.80,2.80,15.70
2022-23,2022,hindu,all,male,120446,77.73,75.08,3.41,24.38
2022-23,2022,hindu,rural,all,138019,62.10,60.55,2.50,12.33
2022-23,2022,hindu,rural,female,68911,45.02,44.23,1.75,7.74
2022-23,2022,hindu,rural,male,69097,79.14,76.83,2.92,14.97
2022-23,2022,hindu,urban,all,100991,50.98,48.22,5.41,50.49
2022-23,2022,hindu,urban,female,49639,26.70,24.73,7.38,52.59
2022-23,2022,hindu,urban,male,51349,74.22,70.71,4.73,49.79
