source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,sex,metric,value
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,person,all_self_employed,34.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,person,regular_wage_salary,52.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,urban,person,casual_labour,13.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,male,own_account_worker,41.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,male,helper_in_household,7.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,male,all_self_employed,49.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,male,regular_wage_salary,28.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,male,casual_labour,22.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,female,own_account_worker,32.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,female,helper_in_household,26.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,female,all_self_employed,58.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,female,regular_wage_salary,26.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,female,casual_labour,14.9
