source_id,source_document,source_sha256_prefix,extraction_run,table_name,geography_level,geography_code,area_name,residence,age_group,religion,persons
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,jain,326049
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,40-44,other,454148
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,all,62318327
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,hindu,50873920
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,muslim,7291929
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,christian,1676544
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,sikh,1224502
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,buddhist,441468
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,jain,309203
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,45-49,other,400007
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,50-54,all,49069254
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,50-54,hindu,40134461
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,50-54,muslim,5579972
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,50-54,christian,1369795
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,50-54,sikh,976351
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,50-54,buddhist,360114
