source_id,source_document,source_sha256_prefix,extraction_run,table_name,state_code,distt_code,area_name,residence,age_group,religion,sex,value
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,muslim,males,9900673
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,muslim,females,9200941
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,christian,persons,2570883
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,christian,males,1293777
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,christian,females,1277106
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,sikh,persons,2111594
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,sikh,males,1170625
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,sikh,females,940969
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,buddhist,persons,827418
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,15-19,buddhist,males,433708
