district_code,state,district,year,religion,value,source
IN-S12-D257,Arunachal Pradesh,Dibang Valley,2011,muslim,1.3868,census-india-2011
IN-S12-D258,Arunachal Pradesh,Lower Dibang Valley,2011,muslim,4.155,census-india-2011
IN-S12-D259,Arunachal Pradesh,Lohit,2011,muslim,2.6392,census-india-2011
IN-S12-D260,Arunachal Pradesh,Anjaw,2011,muslim,3.0944,census-india-2011
IN-S13-D261,Nagaland,Mon,2011,muslim,1.3762,census-india-2011
IN-S13-D262,Nagaland,Mokokchung,2011,muslim,1.0569,census-india-2011
IN-S13-D263,Nagaland,Zunheboto,2011,muslim,0.5485,census-india-2011
IN-S13-D264,Nagaland,Wokha,2011,muslim,1.2282,census-india-2011
IN-S13-D265,Nagaland,Dimapur,2011,muslim,8.2395,census-india-2011
IN-S13-D266,Nagaland,Phek,2011,muslim,0.5813,census-india-2011
IN-S13-D267,Nagaland,Tuensang,2011,muslim,0.5351,census-india-2011
IN-S13-D268,Nagaland,Longleng,2011,muslim,1.2578,census-india-2011
IN-S13-D269,Nagaland,Kiphire,2011,muslim,0.7621,census-india-2011
IN-S13-D270,Nagaland,Kohima,2011,muslim,1.6359,census-india-2011
IN-S13-D271,Nagaland,Peren,2011,muslim,1.9429,census-india-2011
IN-S14-D272,Manipur,Senapati,2011,muslim,0.3442,census-india-2011
IN-S14-D273,Manipur,Tamenglong,2011,muslim,0.4188,census-india-2011
IN-S14-D274,Manipur,Churachandpur,2011,muslim,1.0527,census-india-2011
IN-S14-D275,Manipur,Bishnupur,2011,muslim,7.8732,census-india-2011
IN-S14-D276,Manipur,Thoubal,2011,muslim,25.4219,census-india-2011
IN-S14-D277,Manipur,Imphal West,2011,muslim,4.6908,census-india-2011
IN-S14-D278,Manipur,Imphal East,2011,muslim,17.5831,census-india-2011
IN-S14-D279,Manipur,Ukhrul,2011,muslim,0.606,census-india-2011
IN-S14-D280,Manipur,Chandel,2011,muslim,2.1404,census-india-2011
IN-S15-D281,Mizoram,Mamit,2011,muslim,2.0634,census-india-2011
IN-S15-D282,Mizoram,Kolasib,2011,muslim,5.2719,census-india-2011
IN-S15-D283,Mizoram,Aizawl,2011,muslim,1.315,census-india-2011
IN-S15-D284,Mizoram,Champhai,2011,muslim,0.5559,census-india-2011
IN-S15-D285,Mizoram,Serchhip,2011,muslim,0.5159,census-india-2011
